text,doctor
I have been having migraines and headaches. I can't sleep. My whole body is shaking and shivering. I feel dizzy sometimes.,General Physician
"""I have asthma and I get wheezing and breathing problems. I also have fevers, headaches, and I feel tired all the time.""",General Physician
"""Signs and symptoms of primary ovarian insufficiency are similar to those of menopause or estrogen deficiency. They include: Irregular or skipped per",Gynecologist
"""cough,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
"""chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""Posterior cortical atrophy symptoms vary among people. Symptoms also can vary over time. They tend to gradually get worse. Common symptoms include ha",General Physician
"""I've been having back pain, a cough, and numbness in my arms and legs. My neck hurts too, and I've been feeling dizzy and off balance.""",Orthopedic
"""yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history""",Dermatologist
"""joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking""",General Physician
"""An unusual sensation (aura) may precede a temporal lobe seizure, acting as a warning. Not everyone who has temporal lobe seizures has auras",Neurologist
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""vomiting,fatigue,anxiety,sweating,headache,nausea,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations""",Psychiatrist
"""fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
"""joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Gastroenterologist
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""You might develop signs and symptoms of an intracranial hematoma right after a head injury",Neurologist
"""muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking""",Orthopedic
"""vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching""",Gastroenterologist
"""chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes",Gastroenterologist
"""fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""vomiting,breathlessness,sweating,chest_pain""",Gastroenterologist
I've been feeling really run down lately. I've been having a lot of trouble breathing and my nose is constantly running. I also have a lot of throat m,ENT
"""skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze""",Dermatologist
I have been having a lot of pain in my joints and muscles. My neck is stiff and I have a hard time moving around. I also have a lot of pain when I try,General Physician
"""vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching""",Gastroenterologist
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances""",Gastroenterologist
"""Signs and symptoms of myofascial pain syndrome may include: Deep",General Physician
"""muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking""",Orthopedic
"""skin_rash,pus_filled_pimples,blackheads,scurring""",Dermatologist
"""skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history""",Dermatologist
"""           Cystic acne       Open pop-up dialog box          Close     Cystic acne    Cystic acne Cystic acne — the most severe form of acne — occurs w",General Physician
"""fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history""",Dermatologist
"""vomiting,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability",Psychiatrist
"""The symptoms of radiation enteritis include diarrhea, nausea",Gastroenterologist
"""fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
I have been having a high fever for the past few days. It is especially bad at night. I also have a mild headache and have been constipated and having,General Physician
"""I have been having frequent headaches and blurred vision. I also have a stiff neck, anxiety, irritability",Psychiatrist
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload""",Gastroenterologist
"""vomiting,sunken_eyes,dehydration,diarrhoea""",Gastroenterologist
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability",Psychiatrist
"""continuous_sneezing,shivering,chills,watering_from_eyes""",ENT
"""A hemangioma may be present at birth",General Physician
"""chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes",Gastroenterologist
"""I've been having a headache, chest pain, dizziness, and trouble concentrating.""",General Physician
"""Allergy symptoms, which depend on the substance involved, can affect your airways, sinuses and nasal passages, skin",ENT
"""joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""vomiting,sunken_eyes,diarrhoea""",Gastroenterologist
"""itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain""",Gastroenterologist
I have been having a headache for the past few days. It feels like a sharp pain in my temples. I also have chest pain and dizziness.,General Physician
"""continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure",ENT
Signs and symptoms of gastroparesis include: Vomiting Nausea Abdominal bloating Abdominal pain A feeling of fullness after eating just a few bites Vo,Gastroenterologist
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
"""Many people with peripheral artery disease have mild or no symptoms. Some people have leg pain when walking (claudication). Claudication symptoms inc",General Physician
"""continuous_sneezing,shivering,watering_from_eyes""",ENT
"""fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history""",Dermatologist
"""The main sign of low sperm count is the inability to conceive a child. There might be no other obvious signs or symptoms. In some men",General Physician
"""muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts""",ENT
"""fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
"""fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
"""I've been feeling really sick for the past few days. I've had a high fever, chills",General Physician
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""My skin is really itchy",Dermatologist
"""Multiple system atrophy (MSA) affects many parts of your body. Symptoms usually start in adulthood",General Physician
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
